Mileage,Model,Levy,Prod. year,Manufacturer,Engine volume,Airbags,Color,Category,Fuel type,Gear box type,Leather interior,Price
186005,RX 450,1399.0,2010,LEXUS,3.5,12,Silver,Jeep,Hybrid,Automatic,True,13328
192000,Equinox,1018.0,2011,CHEVROLET,3.0,8,Black,Jeep,Petrol,Tiptronic,False,16621
200000,FIT,803.8573975044563,2006,HONDA,1.3,2,Black,Hatchback,Petrol,Variator,False,8467
168966,Escape,862.0,2011,FORD,2.5,0,White,Jeep,Hybrid,Automatic,True,3607
91901,FIT,446.0,2014,HONDA,1.3,4,Silver,Hatchback,Petrol,Automatic,True,11726
160931,Santa FE,891.0,2016,HYUNDAI,2.0,4,White,Jeep,Diesel,Automatic,True,39493
258909,Prius,761.0,2010,TOYOTA,1.8,12,White,Hatchback,Hybrid,Automatic,True,1803
216118,Sonata,751.0,2013,HYUNDAI,2.4,12,Grey,Sedan,Petrol,Automatic,True,549
128500,RX 350,1324.6266816143498,2007,LEXUS,3.5,12,Silver,Jeep,Petrol,Automatic,True,26657
184467,E 350,1053.0,2014,MERCEDES-BENZ,3.5,12,White,Sedan,Diesel,Automatic,True,941
0,Transit,825.4240766073872,1999,FORD,4.0,0,Blue,Microbus,CNG,Manual,False,8781
350000,Vectra,1156.6493506493507,1997,OPEL,1.6,4,White,Goods wagon,CNG,Manual,False,3000
138038,RX 450,1055.0,2013,LEXUS,3.5,12,White,Jeep,Hybrid,Automatic,True,1019
74146,CHR,1079.0,2018,TOYOTA,2.0,12,White,Jeep,Petrol,Automatic,True,549
121840,Elantra,810.0,2016,HYUNDAI,1.8,12,Blue,Sedan,Petrol,Automatic,True,7683
54317,Elantra,810.0,2016,HYUNDAI,1.8,4,White,Sedan,Petrol,Automatic,True,28382
112645,Elantra,531.0,2012,HYUNDAI,1.6,4,Silver,Sedan,Petrol,Automatic,True,18826
187000,Prius,586.0,2012,TOYOTA,1.8,12,White,Sedan,Plug-in Hybrid,Automatic,True,20698
39709,Camry,1249.0,2017,TOYOTA,2.5,12,Black,Sedan,Petrol,Automatic,True,17562
230000,Transit,825.4240766073872,2001,FORD,2.0,0,White,Microbus,Diesel,Manual,False,7840
0,Vectra,1156.6493506493507,1995,OPEL,1.8,4,Green,Sedan,Petrol,Automatic,False,4704
210000,E 220,1281.3365810451728,2006,MERCEDES-BENZ,2.2,8,Black,Sedan,Diesel,Tiptronic,True,20385
169000,Prius,850.5492087996912,2008,TOYOTA,1.5,8,White,Sedan,Hybrid,Automatic,False,30
158787,Elantra,583.0,2011,HYUNDAI,1.6,4,Silver,Sedan,Petrol,Automatic,True,14454
180000,Vito,1288.0,2007,MERCEDES-BENZ,2.0,4,White,Goods wagon,Diesel,Manual,False,15681
175056,Cayenne,915.0,2014,PORSCHE,3.0,12,White,Jeep,Diesel,Automatic,True,19444
200000,X5,1082.2991631799164,2000,BMW,4.4,6,Silver,Jeep,CNG,Automatic,True,6899
250000,Grand Cherokee,1067.8297872340424,2007,JEEP,3.0,10,Black,Jeep,Diesel,Tiptronic,True,24462
162000,Santa FE,707.0,2011,HYUNDAI,2.0,4,Grey,Jeep,Diesel,Automatic,True,23235
158000,FIT,1486.0,2010,HONDA,1.3,4,Black,Hatchback,Hybrid,Automatic,False,7527
103490,Elantra,531.0,2012,HYUNDAI,1.6,4,Silver,Sedan,Petrol,Automatic,True,19121
203200,Camry,751.0,2013,TOYOTA,2.4,4,Blue,Sedan,Petrol,Automatic,True,24462
61057,H1,1091.0,2016,HYUNDAI,2.5,4,Black,Universal,Diesel,Automatic,True,45734
11200,Jetta,650.0,2016,VOLKSWAGEN,1.4,8,Black,Sedan,Petrol,Tiptronic,True,20165
141000,Sonata,382.0,2014,HYUNDAI,2.4,12,White,Sedan,Hybrid,Tiptronic,True,21326
160259,Cayenne,1436.0,2010,PORSCHE,3.6,12,Silver,Jeep,Petrol,Automatic,True,549
239342,Tacoma,1194.0,2013,TOYOTA,4.0,12,Silver,Jeep,Petrol,Automatic,True,220
128000,Prius C,503.0,2012,TOYOTA,1.5,8,Sky blue,Hatchback,Hybrid,Variator,False,15681
141500,Aqua,850.5492087996912,2012,TOYOTA,1.5,8,Black,Hatchback,Hybrid,Automatic,False,12544
147000,Escape Hybrid,825.4240766073872,2008,FORD,2.3,8,White,Jeep,Hybrid,Variator,False,17249
